Date,Timestamp,Currency,Rate_to_USD
2026-03-26,2026-03-27T07:16:33.595913,AUD,1.4467
2026-03-26,2026-03-27T07:16:33.595913,BRL,5.2366
2026-03-26,2026-03-27T07:16:33.595913,CAD,1.3835
2026-03-26,2026-03-27T07:16:33.595913,CHF,0.79305
2026-03-26,2026-03-27T07:16:33.595913,CNY,6.9102
2026-03-26,2026-03-27T07:16:33.595913,EUR,0.86663
2026-03-26,2026-03-27T07:16:33.595913,GBP,0.74976
2026-03-26,2026-03-27T07:16:33.595913,IDR,16917
2026-03-26,2026-03-27T07:16:33.595913,INR,94.12
2026-03-26,2026-03-27T07:16:33.595913,JPY,159.62
2026-03-26,2026-03-27T07:16:33.595913,MXN,17.8178
2026-03-26,2026-03-27T07:16:33.595913,NZD,1.7296
2026-03-26,2026-03-27T07:16:33.595913,PHP,60.215
2026-03-26,2026-03-27T07:16:33.595913,THB,32.9
2026-03-26,2026-03-27T07:16:33.595913,TRY,44.367
2026-03-26,2026-03-27T07:16:33.595913,ZAR,17.0577
