Date,Timestamp,Currency,Rate_to_USD
2026-04-28,2026-04-29T08:26:25.589214,AUD,1.3979
2026-04-28,2026-04-29T08:26:25.589214,BRL,5.0017
2026-04-28,2026-04-29T08:26:25.589214,CAD,1.3676
2026-04-28,2026-04-29T08:26:25.589214,CHF,0.79092
2026-04-28,2026-04-29T08:26:25.589214,CNY,6.8388
2026-04-28,2026-04-29T08:26:25.589214,EUR,0.85616
2026-04-28,2026-04-29T08:26:25.589214,GBP,0.74242
2026-04-28,2026-04-29T08:26:25.589214,IDR,17284
2026-04-28,2026-04-29T08:26:25.589214,INR,94.55
2026-04-28,2026-04-29T08:26:25.589214,JPY,159.74
2026-04-28,2026-04-29T08:26:25.589214,MXN,17.4563
2026-04-28,2026-04-29T08:26:25.589214,NZD,1.7042
2026-04-28,2026-04-29T08:26:25.589214,PHP,61.284
2026-04-28,2026-04-29T08:26:25.589214,THB,32.555
2026-04-28,2026-04-29T08:26:25.589214,TRY,45.055
2026-04-28,2026-04-29T08:26:25.589214,ZAR,16.6343
