Date,Timestamp,Currency,Rate_to_USD
2026-02-13,2026-02-16T07:11:49.890104,AUD,1.4183
2026-02-13,2026-02-16T07:11:49.890104,BRL,5.2197
2026-02-13,2026-02-16T07:11:49.890104,CAD,1.3624
2026-02-13,2026-02-16T07:11:49.890104,CHF,0.76893
2026-02-13,2026-02-16T07:11:49.890104,CNY,6.9086
2026-02-13,2026-02-16T07:11:49.890104,EUR,0.84303
2026-02-13,2026-02-16T07:11:49.890104,GBP,0.73478
2026-02-13,2026-02-16T07:11:49.890104,IDR,16823
2026-02-13,2026-02-16T07:11:49.890104,INR,90.61
2026-02-13,2026-02-16T07:11:49.890104,JPY,153.29
2026-02-13,2026-02-16T07:11:49.890104,MXN,17.2205
2026-02-13,2026-02-16T07:11:49.890104,NZD,1.6602
2026-02-13,2026-02-16T07:11:49.890104,PHP,57.857
2026-02-13,2026-02-16T07:11:49.890104,THB,31.075
2026-02-13,2026-02-16T07:11:49.890104,TRY,43.74
2026-02-13,2026-02-16T07:11:49.890104,ZAR,16.0336
