Date,Timestamp,Currency,Rate_to_USD
2026-07-31,2026-08-03T09:54:39.983837,AUD,1.4249
2026-07-31,2026-08-03T09:54:39.983837,BRL,5.0583
2026-07-31,2026-08-03T09:54:39.983837,CAD,1.4041
2026-07-31,2026-08-03T09:54:39.983837,CHF,0.8101
2026-07-31,2026-08-03T09:54:39.983837,CNY,6.7513
2026-07-31,2026-08-03T09:54:39.983837,EUR,0.8707
2026-07-31,2026-08-03T09:54:39.983837,GBP,0.74508
2026-07-31,2026-08-03T09:54:39.983837,IDR,18052
2026-07-31,2026-08-03T09:54:39.983837,INR,95.39
2026-07-31,2026-08-03T09:54:39.983837,JPY,160.24
2026-07-31,2026-08-03T09:54:39.983837,MXN,17.3715
2026-07-31,2026-08-03T09:54:39.983837,NZD,1.7056
2026-07-31,2026-08-03T09:54:39.983837,PHP,61.269
2026-07-31,2026-08-03T09:54:39.983837,THB,33.465
2026-07-31,2026-08-03T09:54:39.983837,TRY,47.525
2026-07-31,2026-08-03T09:54:39.983837,ZAR,16.575
