Date,Timestamp,Currency,Rate_to_USD
2025-12-18,2025-12-19T06:38:53.444889,AUD,1.5133
2025-12-18,2025-12-19T06:38:53.444889,BRL,5.5476
2025-12-18,2025-12-19T06:38:53.444889,CAD,1.379
2025-12-18,2025-12-19T06:38:53.444889,CHF,0.79495
2025-12-18,2025-12-19T06:38:53.444889,CNY,7.0413
2025-12-18,2025-12-19T06:38:53.444889,EUR,0.85332
2025-12-18,2025-12-19T06:38:53.444889,GBP,0.74631
2025-12-18,2025-12-19T06:38:53.444889,IDR,16717
2025-12-18,2025-12-19T06:38:53.444889,INR,90.26
2025-12-18,2025-12-19T06:38:53.444889,JPY,155.77
2025-12-18,2025-12-19T06:38:53.444889,MXN,18.0024
2025-12-18,2025-12-19T06:38:53.444889,NZD,1.7343
2025-12-18,2025-12-19T06:38:53.444889,PHP,58.607
2025-12-18,2025-12-19T06:38:53.444889,THB,31.455
2025-12-18,2025-12-19T06:38:53.444889,TRY,42.734
2025-12-18,2025-12-19T06:38:53.444889,ZAR,16.7773
