Date,Timestamp,Currency,Rate_to_USD
2026-09-09,2026-09-10T10:58:27.273507,AUD,1.3841
2026-09-09,2026-09-10T10:58:27.273507,BRL,5.0889
2026-09-09,2026-09-10T10:58:27.273507,CAD,1.3768
2026-09-09,2026-09-10T10:58:27.273507,CHF,0.80707
2026-09-09,2026-09-10T10:58:27.273507,CNY,6.7078
2026-09-09,2026-09-10T10:58:27.273507,EUR,0.85822
2026-09-09,2026-09-10T10:58:27.273507,GBP,0.7372
2026-09-09,2026-09-10T10:58:27.273507,IDR,17476
2026-09-09,2026-09-10T10:58:27.273507,INR,95.11
2026-09-09,2026-09-10T10:58:27.273507,JPY,153.27
2026-09-09,2026-09-10T10:58:27.273507,MXN,16.9025
2026-09-09,2026-09-10T10:58:27.273507,NZD,1.7081
2026-09-09,2026-09-10T10:58:27.273507,PHP,62.491
2026-09-09,2026-09-10T10:58:27.273507,THB,32.875
2026-09-09,2026-09-10T10:58:27.273507,TRY,48.478
2026-09-09,2026-09-10T10:58:27.273507,ZAR,16.0398
