Date,Timestamp,Currency,Rate_to_USD
2026-05-20,2026-05-21T09:52:23.903850,AUD,1.4027
2026-05-20,2026-05-21T09:52:23.903850,BRL,5.0299
2026-05-20,2026-05-21T09:52:23.903850,CAD,1.3758
2026-05-20,2026-05-21T09:52:23.903850,CHF,0.79009
2026-05-20,2026-05-21T09:52:23.903850,CNY,6.8028
2026-05-20,2026-05-21T09:52:23.903850,EUR,0.86207
2026-05-20,2026-05-21T09:52:23.903850,GBP,0.74616
2026-05-20,2026-05-21T09:52:23.903850,IDR,17701
2026-05-20,2026-05-21T09:52:23.903850,INR,96.83
2026-05-20,2026-05-21T09:52:23.903850,JPY,159.03
2026-05-20,2026-05-21T09:52:23.903850,MXN,17.3681
2026-05-20,2026-05-21T09:52:23.903850,NZD,1.7104
2026-05-20,2026-05-21T09:52:23.903850,PHP,61.697
2026-05-20,2026-05-21T09:52:23.903850,THB,32.675
2026-05-20,2026-05-21T09:52:23.903850,TRY,45.586
2026-05-20,2026-05-21T09:52:23.903850,ZAR,16.5935
