Date,Timestamp,Currency,Rate_to_USD
2026-08-07,2026-08-09T07:03:04.310785,AUD,1.4204
2026-08-07,2026-08-09T07:03:04.310785,BRL,5.0998
2026-08-07,2026-08-09T07:03:04.310785,CAD,1.401
2026-08-07,2026-08-09T07:03:04.310785,CHF,0.81032
2026-08-07,2026-08-09T07:03:04.310785,CNY,6.7476
2026-08-07,2026-08-09T07:03:04.310785,EUR,0.86693
2026-08-07,2026-08-09T07:03:04.310785,GBP,0.74352
2026-08-07,2026-08-09T07:03:04.310785,IDR,17846
2026-08-07,2026-08-09T07:03:04.310785,INR,95.21
2026-08-07,2026-08-09T07:03:04.310785,JPY,158.34
2026-08-07,2026-08-09T07:03:04.310785,MXN,17.1551
2026-08-07,2026-08-09T07:03:04.310785,NZD,1.7032
2026-08-07,2026-08-09T07:03:04.310785,PHP,60.867
2026-08-07,2026-08-09T07:03:04.310785,THB,33.055
2026-08-07,2026-08-09T07:03:04.310785,TRY,47.706
2026-08-07,2026-08-09T07:03:04.310785,ZAR,16.2233
