Date,Timestamp,Currency,Rate_to_USD
2026-04-07,2026-04-08T07:43:15.800287,AUD,1.442
2026-04-07,2026-04-08T07:43:15.800287,BRL,5.1489
2026-04-07,2026-04-08T07:43:15.800287,CAD,1.3912
2026-04-07,2026-04-08T07:43:15.800287,CHF,0.79969
2026-04-07,2026-04-08T07:43:15.800287,CNY,6.8574
2026-04-07,2026-04-08T07:43:15.800287,EUR,0.86528
2026-04-07,2026-04-08T07:43:15.800287,GBP,0.75502
2026-04-07,2026-04-08T07:43:15.800287,IDR,17070
2026-04-07,2026-04-08T07:43:15.800287,INR,93.01
2026-04-07,2026-04-08T07:43:15.800287,JPY,159.84
2026-04-07,2026-04-08T07:43:15.800287,MXN,17.7529
2026-04-07,2026-04-08T07:43:15.800287,NZD,1.7537
2026-04-07,2026-04-08T07:43:15.800287,PHP,60.247
2026-04-07,2026-04-08T07:43:15.800287,THB,32.61
2026-04-07,2026-04-08T07:43:15.800287,TRY,44.609
2026-04-07,2026-04-08T07:43:15.800287,ZAR,16.8895
