Date,Timestamp,Currency,Rate_to_USD
2025-12-31,2026-01-02T06:40:45.603905,AUD,1.4963
2025-12-31,2026-01-02T06:40:45.603905,BRL,5.4778
2025-12-31,2026-01-02T06:40:45.603905,CAD,1.3692
2025-12-31,2026-01-02T06:40:45.603905,CHF,0.79268
2025-12-31,2026-01-02T06:40:45.603905,CNY,7.001
2025-12-31,2026-01-02T06:40:45.603905,EUR,0.85106
2025-12-31,2026-01-02T06:40:45.603905,GBP,0.74264
2025-12-31,2026-01-02T06:40:45.603905,IDR,16716
2025-12-31,2026-01-02T06:40:45.603905,INR,89.87
2025-12-31,2026-01-02T06:40:45.603905,JPY,156.67
2025-12-31,2026-01-02T06:40:45.603905,MXN,17.9728
2025-12-31,2026-01-02T06:40:45.603905,NZD,1.7345
2025-12-31,2026-01-02T06:40:45.603905,PHP,58.95
2025-12-31,2026-01-02T06:40:45.603905,THB,31.675
2025-12-31,2026-01-02T06:40:45.603905,TRY,42.965
2025-12-31,2026-01-02T06:40:45.603905,ZAR,16.548
