Date,Timestamp,Currency,Rate_to_USD
2026-01-26,2026-01-27T06:44:11.955565,AUD,1.4475
2026-01-26,2026-01-27T06:44:11.955565,BRL,5.2863
2026-01-26,2026-01-27T06:44:11.955565,CAD,1.3712
2026-01-26,2026-01-27T06:44:11.955565,CHF,0.77923
2026-01-26,2026-01-27T06:44:11.955565,CNY,6.9544
2026-01-26,2026-01-27T06:44:11.955565,EUR,0.84488
2026-01-26,2026-01-27T06:44:11.955565,GBP,0.73293
2026-01-26,2026-01-27T06:44:11.955565,IDR,16778
2026-01-26,2026-01-27T06:44:11.955565,INR,91.76
2026-01-26,2026-01-27T06:44:11.955565,JPY,154.21
2026-01-26,2026-01-27T06:44:11.955565,MXN,17.3902
2026-01-26,2026-01-27T06:44:11.955565,NZD,1.6794
2026-01-26,2026-01-27T06:44:11.955565,PHP,59.156
2026-01-26,2026-01-27T06:44:11.955565,THB,31.15
2026-01-26,2026-01-27T06:44:11.955565,TRY,43.376
2026-01-26,2026-01-27T06:44:11.955565,ZAR,16.0733
