Date,Timestamp,Currency,Rate_to_USD
2026-01-05,2026-01-06T06:41:51.807432,AUD,1.4997
2026-01-05,2026-01-06T06:41:51.807432,BRL,5.4415
2026-01-05,2026-01-06T06:41:51.807432,CAD,1.3792
2026-01-05,2026-01-06T06:41:51.807432,CHF,0.79638
2026-01-05,2026-01-06T06:41:51.807432,CNY,6.9854
2026-01-05,2026-01-06T06:41:51.807432,EUR,0.85734
2026-01-05,2026-01-06T06:41:51.807432,GBP,0.74383
2026-01-05,2026-01-06T06:41:51.807432,IDR,16740
2026-01-05,2026-01-06T06:41:51.807432,INR,90.29
2026-01-05,2026-01-06T06:41:51.807432,JPY,156.83
2026-01-05,2026-01-06T06:41:51.807432,MXN,18.0101
2026-01-05,2026-01-06T06:41:51.807432,NZD,1.7401
2026-01-05,2026-01-06T06:41:51.807432,PHP,59.079
2026-01-05,2026-01-06T06:41:51.807432,THB,31.375
2026-01-05,2026-01-06T06:41:51.807432,TRY,43.042
2026-01-05,2026-01-06T06:41:51.807432,ZAR,16.4839
