Date,Timestamp,Currency,Rate_to_USD
2026-05-04,2026-05-05T08:18:48.784299,AUD,1.3922
2026-05-04,2026-05-05T08:18:48.784299,BRL,4.9661
2026-05-04,2026-05-05T08:18:48.784299,CAD,1.3615
2026-05-04,2026-05-05T08:18:48.784299,CHF,0.78402
2026-05-04,2026-05-05T08:18:48.784299,CNY,6.8303
2026-05-04,2026-05-05T08:18:48.784299,EUR,0.8547
2026-05-04,2026-05-05T08:18:48.784299,GBP,0.7381
2026-05-04,2026-05-05T08:18:48.784299,IDR,17409
2026-05-04,2026-05-05T08:18:48.784299,INR,95.09
2026-05-04,2026-05-05T08:18:48.784299,JPY,157.12
2026-05-04,2026-05-05T08:18:48.784299,MXN,17.4906
2026-05-04,2026-05-05T08:18:48.784299,NZD,1.6986
2026-05-04,2026-05-05T08:18:48.784299,PHP,61.644
2026-05-04,2026-05-05T08:18:48.784299,THB,32.625
2026-05-04,2026-05-05T08:18:48.784299,TRY,45.201
2026-05-04,2026-05-05T08:18:48.784299,ZAR,16.7248
