Date,Timestamp,Currency,Rate_to_USD
2025-11-21,2025-11-22T06:33:32.697725,AUD,1.5515
2025-11-21,2025-11-22T06:33:32.697725,BRL,5.3714
2025-11-21,2025-11-22T06:33:32.697725,CAD,1.4085
2025-11-21,2025-11-22T06:33:32.697725,CHF,0.80634
2025-11-21,2025-11-22T06:33:32.697725,CNY,7.1098
2025-11-21,2025-11-22T06:33:32.697725,EUR,0.86806
2025-11-21,2025-11-22T06:33:32.697725,GBP,0.76415
2025-11-21,2025-11-22T06:33:32.697725,IDR,16718
2025-11-21,2025-11-22T06:33:32.697725,INR,89.64
2025-11-21,2025-11-22T06:33:32.697725,JPY,156.74
2025-11-21,2025-11-22T06:33:32.697725,MXN,18.4514
2025-11-21,2025-11-22T06:33:32.697725,NZD,1.7847
2025-11-21,2025-11-22T06:33:32.697725,PHP,58.869
2025-11-21,2025-11-22T06:33:32.697725,THB,32.45
2025-11-21,2025-11-22T06:33:32.697725,TRY,42.444
2025-11-21,2025-11-22T06:33:32.697725,ZAR,17.3585
