Date,Timestamp,Currency,Rate_to_USD
2026-02-18,2026-02-19T07:07:49.916617,AUD,1.4139
2026-02-18,2026-02-19T07:07:49.916617,BRL,5.2229
2026-02-18,2026-02-19T07:07:49.916617,CAD,1.3646
2026-02-18,2026-02-19T07:07:49.916617,CHF,0.77028
2026-02-18,2026-02-19T07:07:49.916617,CNY,6.9087
2026-02-18,2026-02-19T07:07:49.916617,EUR,0.84424
2026-02-18,2026-02-19T07:07:49.916617,GBP,0.73651
2026-02-18,2026-02-19T07:07:49.916617,IDR,16885
2026-02-18,2026-02-19T07:07:49.916617,INR,90.69
2026-02-18,2026-02-19T07:07:49.916617,JPY,153.64
2026-02-18,2026-02-19T07:07:49.916617,MXN,17.1136
2026-02-18,2026-02-19T07:07:49.916617,NZD,1.6657
2026-02-18,2026-02-19T07:07:49.916617,PHP,57.873
2026-02-18,2026-02-19T07:07:49.916617,THB,31.25
2026-02-18,2026-02-19T07:07:49.916617,TRY,43.757
2026-02-18,2026-02-19T07:07:49.916617,ZAR,16.0231
